Designator,Mid X,Mid Y,Rotation,Layer
C1,39.5,-10.5,0.0,top
C2,39.5,-5.5,0.0,top
C3,25.5,0.0,90.0,top
C4,23.5,0.0,90.0,top
D1,8.0,-8.5,0.0,top
D2,8.0,-4.5,0.0,top
D3,11.5,-0.5,0.0,top
D4,24.5,-15.5,270.0,top
D5,26.5,-15.5,270.0,top
F1,8.0,-14.5,0.0,top
J1,1.0,-8.0,270.0,top
J2,45.275,-7.995,0.0,top
JP1,39.0,0.0,90.0,top
JP2,39.0,-16.0,90.0,top
R1,8.0,-0.5,0.0,top
R10,20.5,-15.5,270.0,top
R11,11.5,-2.5,0.0,top
R12,22.5,-15.5,270.0,top
R13,28.5,-15.5,270.0,top
R2,8.0,-12.5,180.0,top
R3,8.0,-2.5,180.0,top
R4,27.5,0.0,90.0,top
R5,30.5,-6.0,0.0,top
R6,30.5,-8.0,180.0,top
R7,18.5,-15.5,270.0,top
R8,8.0,-6.5,0.0,top
R9,8.0,-10.5,180.0,top
U1,23.0,-8.0,180.0,top
Y1,35.5,-8.0,90.0,top
